City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,1.85,87,100,20.71,CA,1696010147
1,corte,42.25,9.25,20.98,68,2,4.29,FR,1696010411
2,archangelos,36.2149,28.1149,24.99,76,6,9.84,GR,1696010412
3,waitangi,-43.9535,-176.5597,9.9,94,80,4.0,NZ,1696010138
4,labrador city,52.9463,-66.9114,14.95,44,40,0.0,CA,1696009918
5,adamstown,-25.066,-130.1015,20.55,81,97,22.75,PN,1696010135
6,upington,-28.4478,21.2561,28.21,6,0,4.61,ZA,1696010120
7,hamilton,39.1834,-84.5333,25.7,78,100,0.0,US,1696010144
8,altay,47.8667,88.1167,8.41,56,90,7.14,CN,1696009894
9,puerto natales,-51.7236,-72.4875,13.25,35,75,13.8,CL,1696009869
10,howrah,22.5892,88.3103,27.0,89,75,0.0,IN,1696010189
11,arhavi,41.3492,41.3069,21.92,84,25,2.06,TR,1696010414
12,tiksi,71.6872,128.8694,-2.41,86,84,16.51,RU,1696010151
13,pueblo west,38.35,-104.7227,29.66,13,2,5.01,US,1696010414
14,port-aux-francais,-49.35,70.2167,1.18,73,23,44.9,TF,1696010136
15,port lincoln,-34.7333,135.8667,17.93,44,0,9.91,AU,1696010147
16,ribeira grande,38.5167,-28.7,22.22,94,75,18.41,PT,1696010155
17,gierloz,54.0813,21.4955,18.77,46,81,8.28,PL,1696010415
18,iskateley,67.6803,53.1512,1.99,76,100,14.09,RU,1696010157
19,callao,-12.0667,-77.15,25.95,73,100,6.91,PE,1696009901
20,enewetak,11.3474,162.3373,28.81,78,87,13.87,MH,1696009898
21,sulak,43.2734,47.5146,20.04,70,99,15.17,RU,1696010416
22,blackmans bay,-43.0167,147.3167,6.96,92,65,5.88,AU,1696010139
23,margaret river,-33.95,115.0667,14.43,69,78,13.96,AU,1696010145
24,morehead city,34.7229,-76.726,23.33,86,100,12.66,US,1696009935
25,metlili chaamba,32.2667,3.6333,26.8,26,0,8.23,DZ,1696010417
26,coquimbo,-29.9533,-71.3436,16.85,67,20,14.97,CL,1696009924
27,edinburgh of the seven seas,-37.0676,-12.3116,10.78,79,100,31.63,SH,1696010137
28,kerikeri,-35.2268,173.9474,13.84,89,83,7.0,NZ,1696010417
29,shevchenko,48.5,35.0,20.8,35,0,7.9,UA,1696010417
30,kone,-21.0595,164.8658,17.41,80,19,5.95,NC,1696010161
31,new plymouth,-39.0667,174.0833,9.34,85,95,17.83,NZ,1696010418
32,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,100,0,2.24,RU,1696010149
33,richards bay,-28.783,32.0377,23.64,72,0,9.37,ZA,1696009954
34,nguruka,-5.1092,31.0419,27.93,29,72,3.71,TZ,1696010418
35,isafjordur,66.0755,-23.124,6.02,61,75,13.8,IS,1696009920
36,avarua,-21.2078,-159.775,24.03,88,75,16.11,CK,1696010153
37,bilibino,68.0546,166.4372,-1.9,95,98,14.25,RU,1696010140
38,forster,-32.1667,152.5167,11.27,100,0,3.83,AU,1696010419
39,susuman,62.7833,148.1667,-3.43,87,100,6.44,RU,1696009934
40,grytviken,-54.2811,-36.5092,-0.69,80,20,11.3,GS,1696010070
41,carolina beach,34.0352,-77.8936,26.75,76,51,1.99,US,1696010419
42,kismayo,-0.3582,42.5454,26.01,84,10,13.15,SO,1696010420
43,papatowai,-46.5619,169.4708,4.65,68,98,22.3,NZ,1696009918
44,minas de marcona,-15.2119,-75.1103,20.27,60,45,13.09,PE,1696010173
45,lalibela,12.0333,39.0333,15.91,65,88,7.38,ET,1696010420
46,thompson,55.7435,-97.8558,12.09,82,75,3.44,CA,1696010146
47,fortuna foothills,32.6578,-114.4119,33.16,28,0,1.01,US,1696010421
48,as sulayyil,20.4607,45.5779,31.46,9,0,8.3,SA,1696010421
49,west island,-12.1568,96.8225,24.99,83,75,14.97,CC,1696010146
50,muborak,39.2553,65.1528,18.82,31,1,8.01,UZ,1696010421
51,muncar,-8.4333,114.3333,22.1,91,29,1.92,ID,1696010421
52,al jawf,29.5,38.75,29.21,14,1,7.76,SA,1696009967
53,coari,-4.085,-63.1414,37.42,33,75,2.66,BR,1696010422
54,talnakh,69.4865,88.3972,-2.66,87,100,9.04,RU,1696009804
55,vernon,50.2581,-119.2691,10.34,88,100,5.75,CA,1696010163
56,jinchang,38.4953,102.1739,13.99,61,12,0.72,CN,1696010422
57,tazovsky,67.4667,78.7,-1.72,82,80,19.53,RU,1696009930
58,klyuchi,52.2667,79.1667,12.82,62,99,3.04,RU,1696009922
59,jamestown,42.097,-79.2353,20.01,77,75,4.61,US,1696009915
60,college,64.8569,-147.8028,2.11,75,100,1.43,US,1696010147
61,westport,41.1415,-73.3579,15.71,91,100,11.01,US,1696010423
62,ushuaia,-54.8,-68.3,11.81,43,20,16.11,AR,1696010134
63,kolonia town,6.964,158.206,28.82,69,61,2.53,FM,1696010423
64,tofol,5.3248,163.0078,25.99,87,100,7.14,FM,1696010423
65,hammerfest,70.6634,23.6821,8.25,87,0,2.3,NO,1696010424
